FIPS,StateName,CntyName,DeerDensityMax,DeerDensityMode
1001,Alabama,Autauga County,4,1
1003,Alabama,Baldwin County,3,3
1005,Alabama,Barbour County,4,4
1007,Alabama,Bibb County,3,2
1009,Alabama,Blount County,2,2
1011,Alabama,Bullock County,4,4
1013,Alabama,Butler County,4,4
1015,Alabama,Calhoun County,2,2
1017,Alabama,Chambers County,2,2
1019,Alabama,Cherokee County,2,2
1021,Alabama,Chilton County,2,1
1023,Alabama,Choctaw County,4,3
1025,Alabama,Clarke County,3,3
1027,Alabama,Clay County,2,2
1029,Alabama,Cleburne County,3,2
1031,Alabama,Coffee County,3,3
1033,Alabama,Colbert County,3,1
1035,Alabama,Conecuh County,4,3
1037,Alabama,Coosa County,2,2
1039,Alabama,Covington County,4,4
1041,Alabama,Crenshaw County,4,4
1043,Alabama,Cullman County,2,2
1045,Alabama,Dale County,3,3
1047,Alabama,Dallas County,4,4
1049,Alabama,DeKalb County,2,2
1051,Alabama,Elmore County,2,2
1053,Alabama,Escambia County,3,3
1055,Alabama,Etowah County,2,2
1057,Alabama,Fayette County,2,2
1059,Alabama,Franklin County,3,2
1061,Alabama,Geneva County,4,2
1063,Alabama,Greene County,4,3
1065,Alabama,Hale County,4,3
1067,Alabama,Henry County,4,3
1069,Alabama,Houston County,3,2
1071,Alabama,Jackson County,3,3
1073,Alabama,Jefferson County,3,2
1075,Alabama,Lamar County,4,2
1077,Alabama,Lauderdale County,3,1
1079,Alabama,Lawrence County,2,2
1081,Alabama,Lee County,3,3
1083,Alabama,Limestone County,3,1
1085,Alabama,Lowndes County,4,4
1087,Alabama,Macon County,4,4
1089,Alabama,Madison County,3,1
1091,Alabama,Marengo County,4,4
1093,Alabama,Marion County,3,2
1095,Alabama,Marshall County,3,2
1097,Alabama,Mobile County,3,3
1099,Alabama,Monroe County,4,3
1101,Alabama,Montgomery County,4,4
1103,Alabama,Morgan County,1,1
1105,Alabama,Perry County,4,3
1107,Alabama,Pickens County,4,3
1109,Alabama,Pike County,4,4
1111,Alabama,Randolph County,3,2
1113,Alabama,Russell County,4,4
1115,Alabama,St. Clair County,2,2
1117,Alabama,Shelby County,3,2
1119,Alabama,Sumter County,4,4
1121,Alabama,Talladega County,2,2
1123,Alabama,Tallapoosa County,3,2
1125,Alabama,Tuscaloosa County,3,2
1127,Alabama,Walker County,2,2
1129,Alabama,Washington County,3,3
1131,Alabama,Wilcox County,4,4
1133,Alabama,Winston County,2,2
4001,Arizona,Apache County,1,0
4003,Arizona,Cochise County,1,0
4005,Arizona,Coconino County,1,0
4007,Arizona,Gila County,1,0
4009,Arizona,Graham County,1,0
4011,Arizona,Greenlee County,1,0
4012,Arizona,La Paz County,0,0
4013,Arizona,Maricopa County,1,0
4015,Arizona,Mohave County,0,0
4017,Arizona,Navajo County,1,0
4019,Arizona,Pima County,1,0
4021,Arizona,Pinal County,1,0
4023,Arizona,Santa Cruz County,1,1
4025,Arizona,Yavapai County,1,0
4027,Arizona,Yuma County,0,0
5001,Arkansas,Arkansas County,3,3
5003,Arkansas,Ashley County,3,3
5005,Arkansas,Baxter County,3,3
5007,Arkansas,Benton County,3,2
5009,Arkansas,Boone County,2,2
5011,Arkansas,Bradley County,3,3
5013,Arkansas,Calhoun County,3,3
5015,Arkansas,Carroll County,3,2
5017,Arkansas,Chicot County,3,3
5019,Arkansas,Clark County,3,3
5021,Arkansas,Clay County,3,1
5023,Arkansas,Cleburne County,3,3
5025,Arkansas,Cleveland County,3,3
5027,Arkansas,Columbia County,3,3
5029,Arkansas,Conway County,2,2
5031,Arkansas,Craighead County,2,1
5033,Arkansas,Crawford County,3,2
5035,Arkansas,Crittenden County,2,1
5037,Arkansas,Cross County,2,1
5039,Arkansas,Dallas County,3,3
5041,Arkansas,Desha County,3,3
5043,Arkansas,Drew County,3,3
5045,Arkansas,Faulkner County,3,2
5047,Arkansas,Franklin County,2,2
5049,Arkansas,Fulton County,3,3
5051,Arkansas,Garland County,2,2
5053,Arkansas,Grant County,3,3
5055,Arkansas,Greene County,3,2
5057,Arkansas,Hempstead County,3,3
5059,Arkansas,Hot Spring County,3,3
5061,Arkansas,Howard County,2,2
5063,Arkansas,Independence County,3,3
5065,Arkansas,Izard County,3,3
5067,Arkansas,Jackson County,3,1
5069,Arkansas,Jefferson County,3,3
5071,Arkansas,Johnson County,2,2
5073,Arkansas,Lafayette County,3,3
5075,Arkansas,Lawrence County,3,3
5077,Arkansas,Lee County,2,1
5079,Arkansas,Lincoln County,3,3
5081,Arkansas,Little River County,2,2
5083,Arkansas,Logan County,2,2
5085,Arkansas,Lonoke County,2,2
5087,Arkansas,Madison County,3,3
5089,Arkansas,Marion County,3,2
5091,Arkansas,Miller County,3,3
5093,Arkansas,Mississippi County,1,1
5095,Arkansas,Monroe County,3,2
5097,Arkansas,Montgomery County,2,2
5099,Arkansas,Nevada County,3,3
5101,Arkansas,Newton County,3,2
5103,Arkansas,Ouachita County,3,3
5105,Arkansas,Perry County,2,2
5107,Arkansas,Phillips County,3,1
5109,Arkansas,Pike County,3,2
5111,Arkansas,Poinsett County,2,1
5113,Arkansas,Polk County,2,2
5115,Arkansas,Pope County,2,2
5117,Arkansas,Prairie County,3,3
5119,Arkansas,Pulaski County,3,2
5121,Arkansas,Randolph County,3,3
5123,Arkansas,St. Francis County,2,1
5125,Arkansas,Saline County,2,2
5127,Arkansas,Scott County,2,2
5129,Arkansas,Searcy County,2,2
5131,Arkansas,Sebastian County,3,2
5133,Arkansas,Sevier County,2,2
5135,Arkansas,Sharp County,3,3
5137,Arkansas,Stone County,3,2
5139,Arkansas,Union County,3,3
5141,Arkansas,Van Buren County,3,3
5143,Arkansas,Washington County,3,3
5145,Arkansas,White County,3,2
5147,Arkansas,Woodruff County,3,2
5149,Arkansas,Yell County,2,2
6001,California,Alameda County,0,0
6003,California,Alpine County,0,0
6005,California,Amador County,0,0
6007,California,Butte County,0,0
6009,California,Calaveras County,0,0
6011,California,Colusa County,0,0
6013,California,Contra Costa County,0,0
6015,California,Del Norte County,0,0
6017,California,El Dorado County,0,0
6019,California,Fresno County,0,0
6021,California,Glenn County,0,0
6023,California,Humboldt County,0,0
6025,California,Imperial County,0,0
